task_id,task_name,concept,execution_stream,phase,start,finish,critical,implementation_readiness,quality_score,implementation_summary,linked_playbooks,task_specific_tests,implementation_steps,authorizations,procurement_actions,long_lead_items,decision_points,field_lab_vendor_activities,contingencies,implementation_records,open_decisions,first_hold_point
S-ITHF-24,"Supplier Qualification, Procurement Specifications and Source Surveillance Plan",Shared,2A - Integral 1:1 thermal-hydraulics facility,ITHF Procurement and Construction,2027-07-01,2027-12-31,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Supplier Qualification, Procurement Specifications and Source Surveillance Plan between 2027-07-01 and 2027-12-31 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Procurement/Supply Chain; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-FACILITY-01; PB-MAT-01; PB-SUPPLY-01; PB-TEST-01,,5,3,5,1,3,1,3,5,2,HP-I1 implementation authorization
S-ITHF-47,ITHF Controlled Direct Contingency for Defined Construction and Test Risks,Shared,2A - Integral 1:1 thermal-hydraulics facility,ITHF Program Reserve,2029-07-01,2031-09-30,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver ITHF Controlled Direct Contingency for Defined Construction and Test Risks between 2029-07-01 and 2031-09-30 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Thermal-Hydraulics; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-SUPPLY-01; PB-TEST-01,,5,3,1,1,3,1,3,5,2,HP-I1 implementation authorization
S-ITHF-25,Long-Lead Equipment Procurement and Vendor Engineering,Shared,2A - Integral 1:1 thermal-hydraulics facility,ITHF Procurement and Construction,2027-07-01,2028-03-31,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Long-Lead Equipment Procurement and Vendor Engineering between 2027-07-01 and 2028-03-31 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Procurement/Supply Chain; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-FACILITY-01; PB-MAT-01; PB-SUPPLY-01; PB-TEST-01,,5,3,5,1,3,4,4,5,2,HP-I1 implementation authorization
S-ITHF-23,"Critical Design Review (CDR), Design Freeze and Authorization to Procure/Construct",Shared,2A - Integral 1:1 thermal-hydraulics facility,ITHF Detailed Design,2027-10-01,2027-12-31,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Critical Design Review (CDR), Design Freeze and Authorization to Procure/Construct between 2027-10-01 and 2027-12-31 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Thermal-Hydraulics; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-FACILITY-01; PB-SUPPLY-01; PB-TEST-01,,5,3,1,1,3,1,3,5,2,HP-I1 implementation authorization
S-ITHF-26,"Facility Equipment Fabrication, Shop Assembly and Source Inspection",Shared,2A - Integral 1:1 thermal-hydraulics facility,ITHF Procurement and Construction,2027-10-01,2028-06-30,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Facility Equipment Fabrication, Shop Assembly and Source Inspection between 2027-10-01 and 2028-06-30 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Construction Manager; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-MAT-01; PB-SUPPLY-01; PB-TEST-01; PB-WASTE-01,,5,3,5,1,3,4,4,5,2,HP-I1 implementation authorization
S-ITHF-27,"Host Facility Modifications, Utilities, Ventilation, Fire Protection and Foundations",Shared,2A - Integral 1:1 thermal-hydraulics facility,ITHF Procurement and Construction,2027-10-01,2028-06-30,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Host Facility Modifications, Utilities, Ventilation, Fire Protection and Foundations between 2027-10-01 and 2028-06-30 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Construction Manager; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-MAT-01; PB-SUPPLY-01; PB-TEST-01,,5,3,5,1,3,1,3,5,2,HP-I1 implementation authorization
S-ITHF-28,Salt Preparation/Transfer System Fabrication and Representative Salt Procurement/Purification,Shared,2A - Integral 1:1 thermal-hydraulics facility,ITHF Procurement and Construction,2028-01-01,2028-06-30,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Salt Preparation/Transfer System Fabrication and Representative Salt Procurement/Purification between 2028-01-01 and 2028-06-30 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Fuel/Materials Engineer; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-CHEM-01; PB-FACILITY-01; PB-FP-01; PB-MAT-01; PB-MCA-01; PB-SUPPLY-01; PB-TEST-01,,5,4,5,3,3,4,5,5,3,HP-I1 implementation authorization
S-ITHF-29,"Electrical/I&C Panels, DAQ, Historian and Control Software Build/FAT",Shared,2A - Integral 1:1 thermal-hydraulics facility,ITHF Procurement and Construction,2028-01-01,2028-06-30,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Electrical/I&C Panels, DAQ, Historian and Control Software Build/FAT between 2028-01-01 and 2028-06-30 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is I&C/Digital Engineer; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-MAT-01; PB-SUPPLY-01; PB-TEST-01,,5,3,5,1,3,1,3,5,2,HP-I1 implementation authorization
S-ITHF-30,"Factory Acceptance Tests, Receiving Inspection and Preservation",Shared,2A - Integral 1:1 thermal-hydraulics facility,ITHF Procurement and Construction,2028-01-01,2028-06-30,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Factory Acceptance Tests, Receiving Inspection and Preservation between 2028-01-01 and 2028-06-30 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Test/Commissioning Engineer; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-FUEL-01; PB-MAT-01; PB-MCA-01; PB-SUPPLY-01; PB-TEST-01,,6,4,5,1,3,4,3,5,4,HP-I1 implementation authorization
S-ITHF-41,"Pre-Test Predictions, Blind Acceptance Envelopes and Analysis Readiness",Shared,2A - Integral 1:1 thermal-hydraulics facility,ITHF Validation and Data Qualification,2028-10-01,2028-12-31,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Pre-Test Predictions, Blind Acceptance Envelopes and Analysis Readiness between 2028-10-01 and 2028-12-31 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Thermal-Hydraulics; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-CHEM-01; PB-FACILITY-01; PB-FUEL-01; PB-TEST-01,,5,4,2,1,3,3,3,5,5,HP-I1 implementation authorization
S-ITHF-31,"Site Installation, Insulation, Trace Heat, Cabling and Integrated Assembly",Shared,2A - Integral 1:1 thermal-hydraulics facility,ITHF Procurement and Construction,2028-04-01,2028-06-30,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Site Installation, Insulation, Trace Heat, Cabling and Integrated Assembly between 2028-04-01 and 2028-06-30 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Construction Manager; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-FUEL-01; PB-MAT-01; PB-SUPPLY-01; PB-TEST-01,,5,4,5,1,3,4,3,5,4,HP-I1 implementation authorization
S-ITHF-34,"Integrated Test Readiness Review, Procedures and Blind-Prediction Baseline",Shared,2A - Integral 1:1 thermal-hydraulics facility,ITHF Commissioning,2028-04-01,2028-09-30,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Integrated Test Readiness Review, Procedures and Blind-Prediction Baseline between 2028-04-01 and 2028-09-30 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Test/Commissioning Engineer; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-CHEM-01; PB-FACILITY-01; PB-TEST-01,,6,5,5,1,3,4,3,5,3,HP-I1 implementation authorization
S-ITHF-32,"Pre-Commissioning, Dry Checks, Pressure/Leak Tests and System Turnover",Shared,2A - Integral 1:1 thermal-hydraulics facility,ITHF Commissioning,2028-04-01,2028-09-30,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Pre-Commissioning, Dry Checks, Pressure/Leak Tests and System Turnover between 2028-04-01 and 2028-09-30 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Test/Commissioning Engineer; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-TEST-01,,6,4,5,1,3,4,3,5,2,HP-I1 implementation authorization
S-ITHF-33,"Heat-Up, Trace-Heat, Thermal Expansion and Hot Inert Commissioning",Shared,2A - Integral 1:1 thermal-hydraulics facility,ITHF Commissioning,2028-04-01,2028-09-30,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Heat-Up, Trace-Heat, Thermal Expansion and Hot Inert Commissioning between 2028-04-01 and 2028-09-30 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Test/Commissioning Engineer; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-CHEM-01; PB-TEST-01; PB-WASTE-01,,6,5,5,1,3,4,3,5,3,HP-I1 implementation authorization
S-ITHF-44,"Facility Operations, Maintenance, Calibration, Spares and Configuration Program",Shared,2A - Integral 1:1 thermal-hydraulics facility,ITHF Operations,2028-07-01,2030-12-31,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Facility Operations, Maintenance, Calibration, Spares and Configuration Program between 2028-07-01 and 2030-12-31 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Operations/Training; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-CHEM-01; PB-TEST-01,,5,3,1,1,3,4,3,5,3,HP-I1 implementation authorization
S-ITHF-35,"First Salt Load, Circulation, Shakedown and Baseline Operating Map",Shared,2A - Integral 1:1 thermal-hydraulics facility,ITHF Commissioning,2028-07-01,2028-09-30,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver First Salt Load, Circulation, Shakedown and Baseline Operating Map between 2028-07-01 and 2028-09-30 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Test/Commissioning Engineer; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-CHEM-01; PB-MCA-01; PB-TEST-01; PB-WASTE-01,,6,5,5,1,3,4,3,5,3,HP-I1 implementation authorization
S-ITHF-36,"Steady-State Operating Map, Pressure Loss, Heat Balance and Component Performance Tests",Shared,2A - Integral 1:1 thermal-hydraulics facility,ITHF Test Campaigns,2028-07-01,2028-12-31,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Steady-State Operating Map, Pressure Loss, Heat Balance and Component Performance Tests between 2028-07-01 and 2028-12-31 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Thermal-Hydraulics; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-CHEM-01; PB-FUEL-01; PB-MCA-01; PB-SUPPLY-01; PB-TEST-01,,6,5,5,1,3,4,3,5,5,HP-I1 implementation authorization
S-ITHF-42,"Post-Test Model Validation, Uncertainty Quantification and Discrepancy Closure",Shared,2A - Integral 1:1 thermal-hydraulics facility,ITHF Validation and Data Qualification,2028-10-01,2029-09-30,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Post-Test Model Validation, Uncertainty Quantification and Discrepancy Closure between 2028-10-01 and 2029-09-30 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Thermal-Hydraulics; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-CHEM-01; PB-FACILITY-01; PB-FUEL-01; PB-TEST-01; PB-WASTE-01,,5,4,2,1,3,3,3,5,5,HP-I1 implementation authorization
S-ITHF-45,"Long-Duration Chemistry, Corrosion, Instrument Drift and Thermal-Cycling Endurance Campaign",Shared,2A - Integral 1:1 thermal-hydraulics facility,ITHF Operations,2028-07-01,2030-06-30,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Long-Duration Chemistry, Corrosion, Instrument Drift and Thermal-Cycling Endurance Campaign between 2028-07-01 and 2030-06-30 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Fuel/Materials Engineer; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-CHEM-01; PB-FACILITY-01; PB-MAT-01; PB-SUPPLY-01; PB-TEST-01; PB-WASTE-01,,6,5,5,2,3,4,3,5,4,HP-I1 implementation authorization
S-ITHF-37,"Load-Following, Power Ramp, Startup/Shutdown and Control-System Response Tests",Shared,2A - Integral 1:1 thermal-hydraulics facility,ITHF Test Campaigns,2028-07-01,2029-03-31,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Load-Following, Power Ramp, Startup/Shutdown and Control-System Response Tests between 2028-07-01 and 2029-03-31 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Thermal-Hydraulics; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-CHEM-01; PB-FUEL-01; PB-TEST-01,,6,5,5,1,3,4,3,5,5,HP-I1 implementation authorization
S-ITHF-43,"Qualified Test Database, Methods Topical Integration and NRC Audit Package",Shared,2A - Integral 1:1 thermal-hydraulics facility,ITHF Validation and Data Qualification,2029-01-01,2029-12-31,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Qualified Test Database, Methods Topical Integration and NRC Audit Package between 2029-01-01 and 2029-12-31 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Data/Software Engineer; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-CHEM-01; PB-FACILITY-01; PB-SUPPLY-01; PB-TEST-01,,5,3,2,1,3,3,3,5,3,HP-I1 implementation authorization
S-ITHF-38,"Natural Circulation, Pump Coastdown, Loss-of-Flow and Loss-of-Heat-Sink Tests",Shared,2A - Integral 1:1 thermal-hydraulics facility,ITHF Test Campaigns,2028-10-01,2029-03-31,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Natural Circulation, Pump Coastdown, Loss-of-Flow and Loss-of-Heat-Sink Tests between 2028-10-01 and 2029-03-31 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Thermal-Hydraulics; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-CHEM-01; PB-FUEL-01; PB-MCA-01; PB-TEST-01,,6,5,5,1,3,4,3,5,5,HP-I1 implementation authorization
S-ITHF-39,"Freeze Initiation, Freeze-Plug, Thaw, Drain and Recovery Tests",Shared,2A - Integral 1:1 thermal-hydraulics facility,ITHF Test Campaigns,2028-10-01,2029-06-30,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Freeze Initiation, Freeze-Plug, Thaw, Drain and Recovery Tests between 2028-10-01 and 2029-06-30 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Thermal-Hydraulics; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-CHEM-01; PB-FUEL-01; PB-MCA-01; PB-TEST-01,,6,5,5,1,3,4,3,5,5,HP-I1 implementation authorization
S-ITHF-40,"Gas Entrainment, Cavitation, Free-Surface, Bypass and Off-Gas Analog Tests",Shared,2A - Integral 1:1 thermal-hydraulics facility,ITHF Test Campaigns,2028-10-01,2029-06-30,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Gas Entrainment, Cavitation, Free-Surface, Bypass and Off-Gas Analog Tests between 2028-10-01 and 2029-06-30 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Thermal-Hydraulics; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-CHEM-01; PB-FP-01; PB-FUEL-01; PB-MCA-01; PB-SUPPLY-01; PB-TEST-01,,6,5,5,1,3,4,3,5,5,HP-I1 implementation authorization
S-ITHF-46,"Facility Layup, Salt Removal, Decontamination, Decommissioning and Reuse Plan",Shared,2A - Integral 1:1 thermal-hydraulics facility,ITHF End State,2031-01-01,2031-12-31,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Facility Layup, Salt Removal, Decontamination, Decommissioning and Reuse Plan between 2031-01-01 and 2031-12-31 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Operations/Training; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-CHEM-01; PB-MAT-01; PB-SUPPLY-01; PB-TEST-01; PB-WASTE-01,,6,5,5,1,3,4,3,5,3,HP-I1 implementation authorization
S-INL-01,"INL partnership, scope, governance and integrated project charter",Shared,2B - INL critical demonstration experiment,INL Program Definition,2026-10-01,2026-12-31,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver INL partnership, scope, governance and integrated project charter between 2026-10-01 and 2026-12-31 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Chief Technology Officer; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-MAT-01; PB-MCA-01; PB-TEST-01,,5,3,1,1,3,1,3,5,2,HP-I1 implementation authorization
S-INL-02,"Critical-experiment PIRT, measurement objectives and data-requirements matrix",Shared,2B - INL critical demonstration experiment,INL Program Definition,2026-10-01,2026-12-31,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Critical-experiment PIRT, measurement objectives and data-requirements matrix between 2026-10-01 and 2026-12-31 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Reactor Physics; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-CHEM-01; PB-FUEL-01; PB-MAT-01; PB-SUPPLY-01; PB-TEST-01,,5,4,2,1,3,3,3,5,5,HP-I1 implementation authorization
S-INL-03,Select and confirm the fastest suitable INL MSR host pathway,Shared,2B - INL critical demonstration experiment,INL Program Definition,2026-10-01,2026-12-31,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Select and confirm the fastest suitable INL MSR host pathway between 2026-10-01 and 2026-12-31 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Chief Technology Officer; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-CHEM-01; PB-FUEL-01; PB-MCA-01; PB-TEST-01; PB-WASTE-01,,5,4,1,1,3,1,3,5,5,HP-I1 implementation authorization
S-INL-04,"DOE authorization, NEPA and experiment safety strategy",Shared,2B - INL critical demonstration experiment,INL Authorization,2026-10-01,2027-03-31,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver DOE authorization, NEPA and experiment safety strategy between 2026-10-01 and 2027-03-31 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Safety Analysis; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-MAT-01; PB-MCA-01; PB-TEST-01,,5,3,2,1,3,1,3,5,2,HP-I1 implementation authorization
S-INL-05,"Fuel-salt specification, production route, characterization and material control/accountability",Shared,2B - INL critical demonstration experiment,INL Fuel Salt,2027-01-01,2028-06-30,True,"Task-specific execution sequence, procurement/partner actions, facility work, decision gates, acceptance evidence, and fallback routes are defined for the current planning basis.",100,"Freeze fuel requirements, secure DOE material and a commercial backup, authorize and qualify a synthesis/analytical facility, produce accepted batches, transport and receive them under controlled MC&A, and maintain full genealogy through final disposition.",PB-FUEL-01; PB-MCA-01; PB-SUPPLY-01; PB-WASTE-01,CHEM-01; CHEM-02; CHEM-03; CHEM-20; CHEM-23; CHEM-25,8,4,4,4,4,3,4,5,5,HP-F1 fuel requirements freeze
S-INL-06,Critical assembly and experiment physics design,Shared,2B - INL critical demonstration experiment,INL Concept Design,2026-10-01,2027-03-31,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Critical assembly and experiment physics design between 2026-10-01 and 2027-03-31 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Reactor Physics; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-CHEM-01; PB-FP-01; PB-FUEL-01; PB-MAT-01; PB-MCA-01; PB-SUPPLY-01; PB-TEST-01,,5,4,5,1,3,1,3,5,5,HP-I1 implementation authorization
S-INL-09,"Experiment QA, software QA, calibration and qualified-data plan",Shared,2B - INL critical demonstration experiment,INL Assurance,2026-10-01,2027-06-30,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Experiment QA, software QA, calibration and qualified-data plan between 2026-10-01 and 2027-06-30 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Quality Assurance; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-SUPPLY-01; PB-TEST-01,,5,3,1,1,3,1,3,5,2,HP-I1 implementation authorization
S-INL-07,"Thermal, confinement, shielding, source-term and criticality-safety design",Shared,2B - INL critical demonstration experiment,INL Concept Design,2026-10-01,2027-03-31,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Thermal, confinement, shielding, source-term and criticality-safety design between 2026-10-01 and 2027-03-31 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Safety Analysis; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-FP-01; PB-FUEL-01; PB-MAT-01; PB-SUPPLY-01; PB-TEST-01,,5,4,2,1,3,3,3,5,5,HP-I1 implementation authorization
S-INL-08,"Experiment I&C, neutron instrumentation, process instrumentation and data acquisition architecture",Shared,2B - INL critical demonstration experiment,INL Concept Design,2026-10-01,2027-03-31,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Experiment I&C, neutron instrumentation, process instrumentation and data acquisition architecture between 2026-10-01 and 2027-03-31 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is I&C/Digital Engineer; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-CHEM-01; PB-MAT-01; PB-MCA-01; PB-TEST-01,,5,3,5,1,3,1,3,5,3,HP-I1 implementation authorization
S-INL-10,"Host-facility interfaces, modifications, utilities, handling and installation design",Shared,2B - INL critical demonstration experiment,INL Host Integration,2026-10-01,2027-03-31,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Host-facility interfaces, modifications, utilities, handling and installation design between 2026-10-01 and 2027-03-31 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Systems Engineer; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-MAT-01; PB-MCA-01; PB-TEST-01; PB-WASTE-01,,5,3,5,1,3,1,3,5,2,HP-I1 implementation authorization
S-INL-11,INL critical experiment preliminary design review,Shared,2B - INL critical demonstration experiment,INL Design Review,2027-01-01,2027-03-31,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver INL critical experiment preliminary design review between 2027-01-01 and 2027-03-31 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Chief Nuclear Officer; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-SUPPLY-01; PB-TEST-01,,5,3,1,1,3,1,3,5,2,HP-I1 implementation authorization
S-INL-12,"Final design, safety analysis and critical design review",Shared,2B - INL critical demonstration experiment,INL Detailed Design,2027-07-01,2027-12-31,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Final design, safety analysis and critical design review between 2027-07-01 and 2027-12-31 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Safety Analysis; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-SUPPLY-01; PB-TEST-01,,5,3,5,1,3,1,3,5,2,HP-I1 implementation authorization
S-INL-13,"Procurement, fabrication, inspection and factory acceptance testing",Shared,2B - INL critical demonstration experiment,INL Fabrication,2027-10-01,2028-06-30,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Procurement, fabrication, inspection and factory acceptance testing between 2027-10-01 and 2028-06-30 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Procurement/Supply Chain; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-MAT-01; PB-SUPPLY-01; PB-TEST-01; PB-WASTE-01,,5,3,5,1,3,4,4,5,2,HP-I1 implementation authorization
S-INL-14,"Fuel-salt production, batch acceptance, packaging and delivery",Shared,2B - INL critical demonstration experiment,INL Fuel Salt,2027-10-01,2028-06-30,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Fuel-salt production, batch acceptance, packaging and delivery between 2027-10-01 and 2028-06-30 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Radiation Protection/Chemistry; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-CHEM-01; PB-FP-01; PB-FUEL-01; PB-MAT-01; PB-MCA-01; PB-SUPPLY-01; PB-TEST-01; PB-WASTE-01,,5,4,5,3,3,4,5,5,5,HP-I1 implementation authorization
